Round,Oblast,Recorded IDPs,IDPs remaining from last round,New IDPs,Departed IDPs,% change from last round,Change from last round,% of total IDPs this round,Share of total,Data Collected
30,Dnipropetrovska,"390,671","390,671",,11,0%,0% fewer IDPs this round,6%,6% of total recorded IDPs this round,Nov 1 2023-Nov 30 2023
30,Donetska,"99,389","95,766","3,623",,4%,4% more IDPs this round,1%,1% of total recorded IDPs this round,Nov 1 2023-Nov 30 2023
30,Ivano-Frankivska,"125,107","125,107",,"1,080",-1%,-1% fewer IDPs this round,2%,2% of total recorded IDPs this round,Nov 1 2023-Nov 30 2023
30,Kharkivska,"353,388","348,040","5,348",,2%,2% more IDPs this round,5%,5% of total recorded IDPs this round,Nov 1 2023-Nov 30 2023
30,Khersonska,"30,780","29,736","1,044",,4%,4% more IDPs this round,0%,0% of total recorded IDPs this round,Nov 1 2023-Nov 30 2023
30,Khmelnytska,"74,672","74,672",,771,-1%,-1% fewer IDPs this round,1%,1% of total recorded IDPs this round,Nov 1 2023-Nov 30 2023
30,Kirovohradska,"88,130","88,130",,602,-1%,-1% fewer IDPs this round,1%,1% of total recorded IDPs this round,Nov 1 2023-Nov 30 2023
30,Kyivska,"622,537","618,403","4,134",,1%,1% more IDPs this round,9%,9% of total recorded IDPs this round,Nov 1 2023-Nov 30 2023
30,Lvivska,"228,737","228,737",,868,0%,0% fewer IDPs this round,3%,3% of total recorded IDPs this round,Nov 1 2023-Nov 30 2023
30,Mykolaivska,"121,012","119,745","1,267",,1%,1% more IDPs this round,2%,2% of total recorded IDPs this round,Nov 1 2023-Nov 30 2023
30,Odeska,"164,889","163,061","1,828",,1%,1% more IDPs this round,2%,2% of total recorded IDPs this round,Nov 1 2023-Nov 30 2023
30,Poltavska,"179,025","179,025",,"1,461",-1%,-1% fewer IDPs this round,3%,3% of total recorded IDPs this round,Nov 1 2023-Nov 30 2023
30,Rivnenska,"49,983","49,983",,388,-1%,-1% fewer IDPs this round,1%,1% of total recorded IDPs this round,Nov 1 2023-Nov 30 2023
30,Sumska,"90,142","85,278","4,864",,6%,6% more IDPs this round,1%,1% of total recorded IDPs this round,Nov 1 2023-Nov 30 2023
30,Ternopilska,"71,420","71,420",,928,-1%,-1% fewer IDPs this round,1%,1% of total recorded IDPs this round,Nov 1 2023-Nov 30 2023
30,Vinnytska,"158,453","158,453",,743,0%,0% fewer IDPs this round,2%,2% of total recorded IDPs this round,Nov 1 2023-Nov 30 2023
30,Volynska,"48,231","48,231",,921,-2%,-2% fewer IDPs this round,1%,1% of total recorded IDPs this round,Nov 1 2023-Nov 30 2023
30,Zakarpatska,"135,541","135,541",,"1,026",-1%,-1% fewer IDPs this round,2%,2% of total recorded IDPs this round,Nov 1 2023-Nov 30 2023
30,Zaporizka,"167,448","165,127","2,321",,1%,1% more IDPs this round,2%,2% of total recorded IDPs this round,Nov 1 2023-Nov 30 2023
30,Zhytomyrska,"60,753","60,753",,"1,045",-2%,-2% fewer IDPs this round,1%,1% of total recorded IDPs this round,Nov 1 2023-Nov 30 2023
31,Cherkaska,"128,175","128,175",,688,-1%,-1% fewer IDPs this round,2%,2% of total recorded IDPs this round,Dec 1 2023-Dec 31 2023
31,Chernihivska,"57,125","57,125",,"12,554",-18%,-18% fewer IDPs this round,1%,1% of total recorded IDPs this round,Dec 1 2023-Dec 31 2023
31,Chernivetska,"81,267","81,267",,682,-1%,-1% fewer IDPs this round,1%,1% of total recorded IDPs this round,Dec 1 2023-Dec 31 2023
31,Dnipropetrovska,"390,322","390,322",,349,0%,0% fewer IDPs this round,6%,6% of total recorded IDPs this round,Dec 1 2023-Dec 31 2023
31,Donetska,"100,684","99,389","1,295",,1%,1% more IDPs this round,1%,1% of total recorded IDPs this round,Dec 1 2023-Dec 31 2023
31,Ivano-Frankivska,"125,107","125,107",,,0%,no change from last round,2%,2% of total recorded IDPs this round,Dec 1 2023-Dec 31 2023
31,Kharkivska,"356,065","353,388","2,677",,1%,1% more IDPs this round,5%,5% of total recorded IDPs this round,Dec 1 2023-Dec 31 2023
31,Khersonska,"31,109","30,780",329,,1%,1% more IDPs this round,0%,0% of total recorded IDPs this round,Dec 1 2023-Dec 31 2023
31,Khmelnytska,"72,657","72,657",,"2,015",-3%,-3% fewer IDPs this round,1%,1% of total recorded IDPs this round,Dec 1 2023-Dec 31 2023
31,Kirovohradska,"87,614","87,614",,516,-1%,-1% fewer IDPs this round,1%,1% of total recorded IDPs this round,Dec 1 2023-Dec 31 2023
31,Kyivska,"625,268","622,537","2,731",,0%,0% more IDPs this round,9%,9% of total recorded IDPs this round,Dec 1 2023-Dec 31 2023
31,Lvivska,"227,395","227,395",,"1,342",-1%,-1% fewer IDPs this round,3%,3% of total recorded IDPs this round,Dec 1 2023-Dec 31 2023
31,Mykolaivska,"121,140","121,012",128,,0%,0% more IDPs this round,2%,2% of total recorded IDPs this round,Dec 1 2023-Dec 31 2023
31,Odeska,"165,880","164,889",991,,1%,1% more IDPs this round,2%,2% of total recorded IDPs this round,Dec 1 2023-Dec 31 2023
31,Poltavska,"177,590","177,590",,"1,435",-1%,-1% fewer IDPs this round,3%,3% of total recorded IDPs this round,Dec 1 2023-Dec 31 2023
31,Rivnenska,"49,218","49,218",,765,-2%,-2% fewer IDPs this round,1%,1% of total recorded IDPs this round,Dec 1 2023-Dec 31 2023
31,Sumska,"87,117","87,117",,"3,025",-3%,-3% fewer IDPs this round,1%,1% of total recorded IDPs this round,Dec 1 2023-Dec 31 2023
31,Ternopilska,"70,934","70,934",,486,-1%,-1% fewer IDPs this round,1%,1% of total recorded IDPs this round,Dec 1 2023-Dec 31 2023
31,Vinnytska,"157,368","157,368",,"1,085",-1%,-1% fewer IDPs this round,2%,2% of total recorded IDPs this round,Dec 1 2023-Dec 31 2023
31,Volynska,"47,691","47,691",,540,-1%,-1% fewer IDPs this round,1%,1% of total recorded IDPs this round,Dec 1 2023-Dec 31 2023
31,Zakarpatska,"134,788","134,788",,753,-1%,-1% fewer IDPs this round,2%,2% of total recorded IDPs this round,Dec 1 2023-Dec 31 2023
31,Zaporizka,"167,805","167,448",357,,0%,0% more IDPs this round,2%,2% of total recorded IDPs this round,Dec 1 2023-Dec 31 2023
31,Zhytomyrska,"59,726","59,726",,"1,027",-2%,-2% fewer IDPs this round,1%,1% of total recorded IDPs this round,Dec 1 2023-Dec 31 2023
32,Cherkaska,"127,541","127,541",,634,0%,0% fewer IDPs this round,2%,2% of total recorded IDPs this round,Jan 1 2024-Jan 31 2024
32,Chernihivska,"57,003","57,003",,122,0%,0% fewer IDPs this round,1%,1% of total recorded IDPs this round,Jan 1 2024-Jan 31 2024
32,Chernivetska,"80,660","80,660",,607,-1%,-1% fewer IDPs this round,1%,1% of total recorded IDPs this round,Jan 1 2024-Jan 31 2024
32,Dnipropetrovska,"388,976","388,976",,"1,346",0%,0% fewer IDPs this round,6%,6% of total recorded IDPs this round,Jan 1 2024-Jan 31 2024
32,Donetska,"101,542","100,684",858,,1%,1% more IDPs this round,1%,1% of total recorded IDPs this round,Jan 1 2024-Jan 31 2024
32,Ivano-Frankivska,"122,345","122,345",,"2,762",-2%,-2% fewer IDPs this round,2%,2% of total recorded IDPs this round,Jan 1 2024-Jan 31 2024
32,Kharkivska,"357,433","356,065","1,368",,0%,0% more IDPs this round,5%,5% of total recorded IDPs this round,Jan 1 2024-Jan 31 2024
32,Khersonska,"31,250","31,109",141,,0%,0% more IDPs this round,0%,0% of total recorded IDPs this round,Jan 1 2024-Jan 31 2024
32,Khmelnytska,"72,532","72,532",,125,0%,0% fewer IDPs this round,1%,1% of total recorded IDPs this round,Jan 1 2024-Jan 31 2024
32,Kirovohradska,"87,269","87,269",,345,0%,0% fewer IDPs this round,1%,1% of total recorded IDPs this round,Jan 1 2024-Jan 31 2024
32,Kyivska,"623,070","623,070",,"2,198",0%,0% fewer IDPs this round,9%,9% of total recorded IDPs this round,Jan 1 2024-Jan 31 2024
32,Lvivska,"225,635","225,635",,"1,760",-1%,-1% fewer IDPs this round,3%,3% of total recorded IDPs this round,Jan 1 2024-Jan 31 2024
32,Mykolaivska,"120,861","120,861",,279,0%,0% fewer IDPs this round,2%,2% of total recorded IDPs this round,Jan 1 2024-Jan 31 2024
32,Odeska,"167,299","165,880","1,419",,1%,1% more IDPs this round,2%,2% of total recorded IDPs this round,Jan 1 2024-Jan 31 2024
32,Poltavska,"176,046","176,046",,"1,544",-1%,-1% fewer IDPs this round,3%,3% of total recorded IDPs this round,Jan 1 2024-Jan 31 2024
32,Rivnenska,"49,110","49,110",,108,0%,0% fewer IDPs this round,1%,1% of total recorded IDPs this round,Jan 1 2024-Jan 31 2024
32,Sumska,"87,110","87,110",,7,0%,0% fewer IDPs this round,1%,1% of total recorded IDPs this round,Jan 1 2024-Jan 31 2024
32,Ternopilska,"70,126","70,126",,808,-1%,-1% fewer IDPs this round,1%,1% of total recorded IDPs this round,Jan 1 2024-Jan 31 2024
32,Vinnytska,"155,959","155,959",,"1,409",-1%,-1% fewer IDPs this round,2%,2% of total recorded IDPs this round,Jan 1 2024-Jan 31 2024
32,Volynska,"47,170","47,170",,521,-1%,-1% fewer IDPs this round,1%,1% of total recorded IDPs this round,Jan 1 2024-Jan 31 2024
32,Zakarpatska,"133,785","133,785",,"1,003",-1%,-1% fewer IDPs this round,2%,2% of total recorded IDPs this round,Jan 1 2024-Jan 31 2024
32,Zaporizka,"167,194","167,194",,611,0%,0% fewer IDPs this round,2%,2% of total recorded IDPs this round,Jan 1 2024-Jan 31 2024
32,Zhytomyrska,"59,231","59,231",,495,-1%,-1% fewer IDPs this round,1%,1% of total recorded IDPs this round,Jan 1 2024-Jan 31 2024
33,Cherkaska,"126,544","126,544",,997,-1%,-1% fewer IDPs this round,2%,2% of total recorded IDPs this round,Feb 1 2024-Feb 29 2024
33,Chernihivska,"56,966","56,966",,37,0%,0% fewer IDPs this round,1%,1% of total recorded IDPs this round,Feb 1 2024-Feb 29 2024
33,Chernivetska,"79,975","79,975",,685,-1%,-1% fewer IDPs this round,1%,1% of total recorded IDPs this round,Feb 1 2024-Feb 29 2024
33,Dnipropetrovska,"387,653","387,653",,"1,323",0%,0% fewer IDPs this round,6%,6% of total recorded IDPs this round,Feb 1 2024-Feb 29 2024
33,Donetska,"102,259","101,542",717,,1%,1% more IDPs this round,1%,1% of total recorded IDPs this round,Feb 1 2024-Feb 29 2024
33,Ivano-Frankivska,"121,454","121,454",,891,-1%,-1% fewer IDPs this round,2%,2% of total recorded IDPs this round,Feb 1 2024-Feb 29 2024
33,Kharkivska,"358,857","357,433","1,424",,0%,0% more IDPs this round,5%,5% of total recorded IDPs this round,Feb 1 2024-Feb 29 2024
33,Khersonska,"31,579","31,250",329,,1%,1% more IDPs this round,0%,0% of total recorded IDPs this round,Feb 1 2024-Feb 29 2024
33,Khmelnytska,"73,305","72,532",773,,1%,1% more IDPs this round,1%,1% of total recorded IDPs this round,Feb 1 2024-Feb 29 2024
33,Kirovohradska,"86,366","86,366",,903,-1%,-1% fewer IDPs this round,1%,1% of total recorded IDPs this round,Feb 1 2024-Feb 29 2024
33,Kyivska,"536,485","536,485",,"86,585",-14%,-14% fewer IDPs this round,8%,8% of total recorded IDPs this round,Feb 1 2024-Feb 29 2024
33,Lvivska,"223,902","223,902",,"1,733",-1%,-1% fewer IDPs this round,3%,3% of total recorded IDPs this round,Feb 1 2024-Feb 29 2024
33,Mykolaivska,"120,513","120,513",,348,0%,0% fewer IDPs this round,2%,2% of total recorded IDPs this round,Feb 1 2024-Feb 29 2024
33,Odeska,"168,459","167,299","1,160",,1%,1% more IDPs this round,2%,2% of total recorded IDPs this round,Feb 1 2024-Feb 29 2024
33,Poltavska,"174,685","174,685",,"1,361",-1%,-1% fewer IDPs this round,3%,3% of total recorded IDPs this round,Feb 1 2024-Feb 29 2024
33,Rivnenska,"48,532","48,532",,578,-1%,-1% fewer IDPs this round,1%,1% of total recorded IDPs this round,Feb 1 2024-Feb 29 2024
33,Sumska,"86,997","86,997",,113,0%,0% fewer IDPs this round,1%,1% of total recorded IDPs this round,Feb 1 2024-Feb 29 2024
33,Ternopilska,"69,379","69,379",,747,-1%,-1% fewer IDPs this round,1%,1% of total recorded IDPs this round,Feb 1 2024-Feb 29 2024
33,Vinnytska,"154,368","154,368",,"1,591",-1%,-1% fewer IDPs this round,2%,2% of total recorded IDPs this round,Feb 1 2024-Feb 29 2024
33,Volynska,"46,575","46,575",,595,-1%,-1% fewer IDPs this round,1%,1% of total recorded IDPs this round,Feb 1 2024-Feb 29 2024
33,Zakarpatska,"132,804","132,804",,981,-1%,-1% fewer IDPs this round,2%,2% of total recorded IDPs this round,Feb 1 2024-Feb 29 2024
33,Zaporizka,"166,944","166,944",,250,0%,0% fewer IDPs this round,2%,2% of total recorded IDPs this round,Feb 1 2024-Feb 29 2024
33,Zhytomyrska,"58,871","58,871",,360,-1%,-1% fewer IDPs this round,1%,1% of total recorded IDPs this round,Feb 1 2024-Feb 29 2024
34,Cherkaska,"125,518","125,518",,"1,026",-1%,-1% fewer IDPs this round,2%,2% of total recorded IDPs this round,Mar 1 2024-Mar 31 2024
34,Chernihivska,"56,733","56,733",,233,0%,0% fewer IDPs this round,1%,1% of total recorded IDPs this round,Mar 1 2024-Mar 31 2024
34,Chernivetska,"78,940","78,940",,"1,035",-1%,-1% fewer IDPs this round,1%,1% of total recorded IDPs this round,Mar 1 2024-Mar 31 2024
34,Dnipropetrovska,"386,396","386,396",,"1,257",0%,0% fewer IDPs this round,6%,6% of total recorded IDPs this round,Mar 1 2024-Mar 31 2024
34,Donetska,"100,638","100,638",,"1,621",-2%,-2% fewer IDPs this round,1%,1% of total recorded IDPs this round,Mar 1 2024-Mar 31 2024
34,Ivano-Frankivska,"120,259","120,259",,"1,195",-1%,-1% fewer IDPs this round,2%,2% of total recorded IDPs this round,Mar 1 2024-Mar 31 2024
34,Kharkivska,"361,628","358,857","2,771",,1%,1% more IDPs this round,5%,5% of total recorded IDPs this round,Mar 1 2024-Mar 31 2024
34,Khersonska,"31,755","31,579",176,,1%,1% more IDPs this round,0%,0% of total recorded IDPs this round,Mar 1 2024-Mar 31 2024
34,Khmelnytska,"72,597","72,597",,708,-1%,-1% fewer IDPs this round,1%,1% of total recorded IDPs this round,Mar 1 2024-Mar 31 2024
34,Kirovohradska,"85,356","85,356",,"1,010",-1%,-1% fewer IDPs this round,1%,1% of total recorded IDPs this round,Mar 1 2024-Mar 31 2024
34,Kyivska,"524,412","524,412",,"12,073",-2%,-2% fewer IDPs this round,8%,8% of total recorded IDPs this round,Mar 1 2024-Mar 31 2024
34,Lvivska,"221,410","221,410",,"2,492",-1%,-1% fewer IDPs this round,3%,3% of total recorded IDPs this round,Mar 1 2024-Mar 31 2024
34,Mykolaivska,"120,248","120,248",,265,0%,0% fewer IDPs this round,2%,2% of total recorded IDPs this round,Mar 1 2024-Mar 31 2024
34,Odeska,"169,488","168,459","1,029",,1%,1% more IDPs this round,3%,3% of total recorded IDPs this round,Mar 1 2024-Mar 31 2024
34,Poltavska,"172,287","172,287",,"2,398",-1%,-1% fewer IDPs this round,3%,3% of total recorded IDPs this round,Mar 1 2024-Mar 31 2024
34,Rivnenska,"48,321","48,321",,211,0%,0% fewer IDPs this round,1%,1% of total recorded IDPs this round,Mar 1 2024-Mar 31 2024
34,Sumska,"87,319","86,997",322,,0%,0% more IDPs this round,1%,1% of total recorded IDPs this round,Mar 1 2024-Mar 31 2024
34,Ternopilska,"68,337","68,337",,"1,042",-2%,-2% fewer IDPs this round,1%,1% of total recorded IDPs this round,Mar 1 2024-Mar 31 2024
34,Vinnytska,"153,037","153,037",,"1,331",-1%,-1% fewer IDPs this round,2%,2% of total recorded IDPs this round,Mar 1 2024-Mar 31 2024
34,Volynska,"46,219","46,219",,356,-1%,-1% fewer IDPs this round,1%,1% of total recorded IDPs this round,Mar 1 2024-Mar 31 2024
34,Zakarpatska,"131,793","131,793",,"1,011",-1%,-1% fewer IDPs this round,2%,2% of total recorded IDPs this round,Mar 1 2024-Mar 31 2024
34,Zaporizka,"165,840","165,840",,"1,104",-1%,-1% fewer IDPs this round,2%,2% of total recorded IDPs this round,Mar 1 2024-Mar 31 2024
34,Zhytomyrska,"58,760","58,760",,111,0%,0% fewer IDPs this round,1%,1% of total recorded IDPs this round,Mar 1 2024-Mar 31 2024
35,Cherkaska,"123,522","123,522",,"1,996",-2%,-2% fewer IDPs this round,2%,2% of total recorded IDPs this round,Apr 1 2024-Apr 30 2024
35,Chernihivska,"56,695","56,695",,38,0%,0% fewer IDPs this round,1%,1% of total recorded IDPs this round,Apr 1 2024-Apr 30 2024
35,Chernivetska,"77,790","77,790",,"1,150",-1%,-1% fewer IDPs this round,1%,1% of total recorded IDPs this round,Apr 1 2024-Apr 30 2024
35,Dnipropetrovska,"377,837","377,837",,"8,559",-2%,-2% fewer IDPs this round,6%,6% of total recorded IDPs this round,Apr 1 2024-Apr 30 2024
35,Donetska,"102,914","100,638","2,276",,2%,2% more IDPs this round,2%,2% of total recorded IDPs this round,Apr 1 2024-Apr 30 2024
35,Ivano-Frankivska,"117,696","117,696",,"2,563",-2%,-2% fewer IDPs this round,2%,2% of total recorded IDPs this round,Apr 1 2024-Apr 30 2024
35,Kharkivska,"384,897","361,628","23,269",,6%,6% more IDPs this round,6%,6% of total recorded IDPs this round,Apr 1 2024-Apr 30 2024
35,Khersonska,"31,733","31,733",,22,0%,0% fewer IDPs this round,0%,0% of total recorded IDPs this round,Apr 1 2024-Apr 30 2024
35,Khmelnytska,"72,079","72,079",,518,-1%,-1% fewer IDPs this round,1%,1% of total recorded IDPs this round,Apr 1 2024-Apr 30 2024
35,Kirovohradska,"83,688","83,688",,"1,668",-2%,-2% fewer IDPs this round,1%,1% of total recorded IDPs this round,Apr 1 2024-Apr 30 2024
35,Kyivska,"514,817","514,817",,"9,595",-2%,-2% fewer IDPs this round,8%,8% of total recorded IDPs this round,Apr 1 2024-Apr 30 2024
35,Lvivska,"217,479","217,479",,"3,931",-2%,-2% fewer IDPs this round,3%,3% of total recorded IDPs this round,Apr 1 2024-Apr 30 2024
35,Mykolaivska,"118,835","118,835",,"1,413",-1%,-1% fewer IDPs this round,2%,2% of total recorded IDPs this round,Apr 1 2024-Apr 30 2024
35,Odeska,"169,654","169,488",166,,0%,0% more IDPs this round,3%,3% of total recorded IDPs this round,Apr 1 2024-Apr 30 2024
35,Poltavska,"168,036","168,036",,"4,251",-2%,-2% fewer IDPs this round,2%,2% of total recorded IDPs this round,Apr 1 2024-Apr 30 2024
35,Rivnenska,"46,727","46,727",,"1,594",-3%,-3% fewer IDPs this round,1%,1% of total recorded IDPs this round,Apr 1 2024-Apr 30 2024
35,Sumska,"87,145","87,145",,174,0%,0% fewer IDPs this round,1%,1% of total recorded IDPs this round,Apr 1 2024-Apr 30 2024
35,Ternopilska,"67,266","67,266",,"1,071",-2%,-2% fewer IDPs this round,1%,1% of total recorded IDPs this round,Apr 1 2024-Apr 30 2024
35,Vinnytska,"150,610","150,610",,"2,427",-2%,-2% fewer IDPs this round,2%,2% of total recorded IDPs this round,Apr 1 2024-Apr 30 2024
35,Volynska,"45,748","45,748",,471,-1%,-1% fewer IDPs this round,1%,1% of total recorded IDPs this round,Apr 1 2024-Apr 30 2024
35,Zakarpatska,"129,481","129,481",,"2,312",-2%,-2% fewer IDPs this round,2%,2% of total recorded IDPs this round,Apr 1 2024-Apr 30 2024
35,Zaporizka,"163,377","163,377",,"2,463",-1%,-1% fewer IDPs this round,2%,2% of total recorded IDPs this round,Apr 1 2024-Apr 30 2024
35,Zhytomyrska,"58,430","58,430",,330,-1%,-1% fewer IDPs this round,1%,1% of total recorded IDPs this round,Apr 1 2024-Apr 30 2024
36,Cherkaska,"120,880","120,880",,"2,642",-2%,-2% fewer IDPs this round,2%,2% of total recorded IDPs this round,May 1 2024-Jun 30 2024
36,Chernihivska,"56,929","56,695",234,,0%,0% more IDPs this round,1%,1% of total recorded IDPs this round,May 1 2024-Jun 30 2024
36,Chernivetska,"87,937","77,790","10,147",,13%,13% more IDPs this round,1%,1% of total recorded IDPs this round,May 1 2024-Jun 30 2024
36,Dnipropetrovska,"373,301","373,301",,"4,536",-1%,-1% fewer IDPs this round,6%,6% of total recorded IDPs this round,May 1 2024-Jun 30 2024
36,Donetska,"105,109","102,914","2,195",,2%,2% more IDPs this round,2%,2% of total recorded IDPs this round,May 1 2024-Jun 30 2024
36,Ivano-Frankivska,"115,528","115,528",,"2,168",-2%,-2% fewer IDPs this round,2%,2% of total recorded IDPs this round,May 1 2024-Jun 30 2024
36,Kharkivska,"388,118","384,897","3,221",,1%,1% more IDPs this round,6%,6% of total recorded IDPs this round,May 1 2024-Jun 30 2024
36,Khersonska,"32,377","31,733",644,,2%,2% more IDPs this round,0%,0% of total recorded IDPs this round,May 1 2024-Jun 30 2024
36,Khmelnytska,"69,826","69,826",,"2,253",-3%,-3% fewer IDPs this round,1%,1% of total recorded IDPs this round,May 1 2024-Jun 30 2024
36,Kirovohradska,"81,801","81,801",,"1,887",-2%,-2% fewer IDPs this round,1%,1% of total recorded IDPs this round,May 1 2024-Jun 30 2024
36,Kyivska,"478,231","478,231",,"36,586",-7%,-7% fewer IDPs this round,7%,7% of total recorded IDPs this round,May 1 2024-Jun 30 2024
36,Lvivska,"213,144","213,144",,"4,335",-2%,-2% fewer IDPs this round,3%,3% of total recorded IDPs this round,May 1 2024-Jun 30 2024
36,Mykolaivska,"116,438","116,438",,"2,397",-2%,-2% fewer IDPs this round,2%,2% of total recorded IDPs this round,May 1 2024-Jun 30 2024
36,Odeska,"171,477","169,654","1,823",,1%,1% more IDPs this round,3%,3% of total recorded IDPs this round,May 1 2024-Jun 30 2024
36,Poltavska,"164,291","164,291",,"3,745",-2%,-2% fewer IDPs this round,2%,2% of total recorded IDPs this round,May 1 2024-Jun 30 2024
36,Rivnenska,"46,216","46,216",,511,-1%,-1% fewer IDPs this round,1%,1% of total recorded IDPs this round,May 1 2024-Jun 30 2024
36,Sumska,"88,642","87,145","1,497",,2%,2% more IDPs this round,1%,1% of total recorded IDPs this round,May 1 2024-Jun 30 2024
36,Ternopilska,"66,092","66,092",,"1,174",-2%,-2% fewer IDPs this round,1%,1% of total recorded IDPs this round,May 1 2024-Jun 30 2024
36,Vinnytska,"147,875","147,875",,"2,735",-2%,-2% fewer IDPs this round,2%,2% of total recorded IDPs this round,May 1 2024-Jun 30 2024
36,Volynska,"44,956","44,956",,792,-2%,-2% fewer IDPs this round,1%,1% of total recorded IDPs this round,May 1 2024-Jun 30 2024
36,Zakarpatska,"126,304","126,304",,"3,177",-2%,-2% fewer IDPs this round,2%,2% of total recorded IDPs this round,May 1 2024-Jun 30 2024
36,Zaporizka,"160,937","160,937",,"2,440",-1%,-1% fewer IDPs this round,2%,2% of total recorded IDPs this round,May 1 2024-Jun 30 2024
36,Zhytomyrska,"58,260","58,260",,170,0%,0% fewer IDPs this round,1%,1% of total recorded IDPs this round,May 1 2024-Jun 30 2024
37,Cherkaska,"120,195","120,195",,685,-1%,-1% fewer IDPs this round,2%,2% of total recorded IDPs this round,Jul 1 2024-Aug 31 2024
37,Chernihivska,"57,128","56,929",199,,0%,0% more IDPs this round,1%,1% of total recorded IDPs this round,Jul 1 2024-Aug 31 2024
37,Chernivetska,"75,838","75,838",,"12,099",-14%,-14% fewer IDPs this round,1%,1% of total recorded IDPs this round,Jul 1 2024-Aug 31 2024
37,Dnipropetrovska,"377,713","373,301","4,412",,1%,1% more IDPs this round,6%,6% of total recorded IDPs this round,Jul 1 2024-Aug 31 2024
37,Donetska,"104,443","104,443",,666,-1%,-1% fewer IDPs this round,2%,2% of total recorded IDPs this round,Jul 1 2024-Aug 31 2024
37,Ivano-Frankivska,"113,852","113,852",,"1,676",-1%,-1% fewer IDPs this round,2%,2% of total recorded IDPs this round,Jul 1 2024-Aug 31 2024
37,Kharkivska,"388,410","388,118",292,,0%,0% more IDPs this round,6%,6% of total recorded IDPs this round,Jul 1 2024-Aug 31 2024
37,Khersonska,"32,831","32,377",454,,1%,1% more IDPs this round,0%,0% of total recorded IDPs this round,Jul 1 2024-Aug 31 2024
37,Khmelnytska,"68,192","68,192",,"1,634",-2%,-2% fewer IDPs this round,1%,1% of total recorded IDPs this round,Jul 1 2024-Aug 31 2024
37,Kirovohradska,"81,326","81,326",,475,-1%,-1% fewer IDPs this round,1%,1% of total recorded IDPs this round,Jul 1 2024-Aug 31 2024
37,Kyivska,"480,189","478,231","1,958",,0%,0% more IDPs this round,7%,7% of total recorded IDPs this round,Jul 1 2024-Aug 31 2024
37,Lvivska,"210,118","210,118",,"3,026",-1%,-1% fewer IDPs this round,3%,3% of total recorded IDPs this round,Jul 1 2024-Aug 31 2024
37,Mykolaivska,"115,419","115,419",,"1,019",-1%,-1% fewer IDPs this round,2%,2% of total recorded IDPs this round,Jul 1 2024-Aug 31 2024
37,Odeska,"177,948","171,477","6,471",,4%,4% more IDPs this round,3%,3% of total recorded IDPs this round,Jul 1 2024-Aug 31 2024
37,Poltavska,"162,320","162,320",,"1,971",-1%,-1% fewer IDPs this round,2%,2% of total recorded IDPs this round,Jul 1 2024-Aug 31 2024
37,Rivnenska,"45,855","45,855",,361,-1%,-1% fewer IDPs this round,1%,1% of total recorded IDPs this round,Jul 1 2024-Aug 31 2024
37,Sumska,"89,127","88,642",485,,1%,1% more IDPs this round,1%,1% of total recorded IDPs this round,Jul 1 2024-Aug 31 2024
37,Ternopilska,"65,588","65,588",,504,-1%,-1% fewer IDPs this round,1%,1% of total recorded IDPs this round,Jul 1 2024-Aug 31 2024
37,Vinnytska,"146,628","146,628",,"1,247",-1%,-1% fewer IDPs this round,2%,2% of total recorded IDPs this round,Jul 1 2024-Aug 31 2024
37,Volynska,"44,740","44,740",,216,0%,0% fewer IDPs this round,1%,1% of total recorded IDPs this round,Jul 1 2024-Aug 31 2024
37,Zakarpatska,"127,414","126,304","1,110",,1%,1% more IDPs this round,2%,2% of total recorded IDPs this round,Jul 1 2024-Aug 31 2024
37,Zaporizka,"160,196","160,196",,741,0%,0% fewer IDPs this round,2%,2% of total recorded IDPs this round,Jul 1 2024-Aug 31 2024
37,Zhytomyrska,"58,015","58,015",,245,0%,0% fewer IDPs this round,1%,1% of total recorded IDPs this round,Jul 1 2024-Aug 31 2024
38,Cherkaska,"121,664","120,195","1,469",,1%,1% more IDPs this round,2%,2% of total recorded IDPs this round,Sep 1 2024-Oct 31 2024
38,Chernihivska,"57,667","57,128",539,,1%,1% more IDPs this round,1%,1% of total recorded IDPs this round,Sep 1 2024-Oct 31 2024
38,Chernivetska,"75,614","75,614",,224,0%,0% fewer IDPs this round,1%,1% of total recorded IDPs this round,Sep 1 2024-Oct 31 2024
38,Dnipropetrovska,"379,133","377,713","1,420",,0%,0% more IDPs this round,6%,6% of total recorded IDPs this round,Sep 1 2024-Oct 31 2024
38,Donetska,"96,947","96,947",,"7,496",-7%,-7% fewer IDPs this round,1%,1% of total recorded IDPs this round,Sep 1 2024-Oct 31 2024
38,Ivano-Frankivska,"113,025","113,025",,827,-1%,-1% fewer IDPs this round,2%,2% of total recorded IDPs this round,Sep 1 2024-Oct 31 2024
38,Kharkivska,"390,872","388,410","2,462",,1%,1% more IDPs this round,6%,6% of total recorded IDPs this round,Sep 1 2024-Oct 31 2024
38,Khersonska,"32,914","32,831",83,,0%,0% more IDPs this round,0%,0% of total recorded IDPs this round,Sep 1 2024-Oct 31 2024
38,Khmelnytska,"67,840","67,840",,352,-1%,-1% fewer IDPs this round,1%,1% of total recorded IDPs this round,Sep 1 2024-Oct 31 2024
38,Kirovohradska,"82,960","81,326","1,634",,2%,2% more IDPs this round,1%,1% of total recorded IDPs this round,Sep 1 2024-Oct 31 2024
